game_date,cup_round,cup_stage,cup_replay,extra_time,ko_time,cup_leg,agg_outcome,agg_score,agg_gf,agg_ga
1921-11-19,Q4,4th Qualifying round,0,0,,,,,,
1921-11-24,Q4,4th Qualifying round replay,1,0,,,,,,
1922-11-18,Q4,4th Qualifying round,0,0,,,,,,
1923-11-17,Q4,4th Qualifying round,0,0,,,,,,
1923-12-15,Q6,6th Qualifying round,0,0,,,,,,
1924-11-15,Q4,4th Qualifying round,0,0,,,,,,
1924-11-19,Q4,4th Qualifying round replay,1,0,,,,,,
1924-11-29,Q5,5th Qualifying round,0,0,,,,,,
1924-12-03,Q5,5th Qualifying round replay,1,0,,,,,,
2015-10-24,Q,Qualifying round,0,0,3.00pm,,,,,
2015-10-27,Q,Qualifying round replay,1,0,7.45pm,,,,,
2015-12-12,1,1st round,0,0,3.00pm,,,,,
2016-10-15,Q,Qualifying round,0,0,3.00pm,,,,,
2016-12-10,1,1st round,0,0,3.00pm,,,,,
2017-01-14,2,2nd round,0,0,3.00pm,,,,,
2017-02-04,3,3rd round,0,0,3.00pm,,,,,
2017-02-08,3,3rd round replay,1,0,7.30pm,,,,,
2017-02-25,4,4th round,0,0,3.00pm,,,,,
2017-03-11,SF,Semi-Final 1st leg,0,0,3.00pm,1.0,,,,
2017-03-18,SF,Semi-Final 2nd leg,0,0,7.00pm,2.0,L,1-2,1.0,2.0
2017-05-03,SF,Semi-Final 1st leg,0,0,7.00pm,1.0,,,,
2017-05-06,SF,Semi-Final 2nd leg,0,0,12.15pm,2.0,W,5-2,5.0,2.0
2017-05-14,F,Final,0,0,3.00pm,,,,,
2017-10-14,Q,Qualifying round,0,0,3.00pm,,,,,
2017-12-18,1,,0,0,7.45pm,,,,,
2018-05-05,SF,Semi-Final,0,1,12.15pm,,,,,
2018-05-12,F,Final,0,0,3.00pm,,,,,
